user_id,date_res,weekday,time_res,wt_yes,hbefore_bt_yes,bt_yes,wt_today,sleep_qual
2,2020-06-22,ma,2020-06-22T07:31:48Z,2020-06-21T09:55:00Z,2020-06-22T00:31:00Z,2020-06-22T01:31:00Z,2020-06-22T07:31:00Z,4
3,2020-06-03,wo,2020-06-03T07:55:53Z,2020-06-02T06:46:00Z,2020-06-02T21:19:00Z,2020-06-02T22:19:00Z,2020-06-03T07:30:00Z,5
3,2020-06-04,do,2020-06-04T07:15:56Z,2020-06-03T07:30:00Z,2020-06-03T20:33:00Z,2020-06-03T21:33:00Z,2020-06-04T06:32:00Z,6
3,2020-06-05,vr,2020-06-05T07:41:20Z,2020-06-04T06:32:00Z,2020-06-04T20:55:00Z,2020-06-04T21:55:00Z,2020-06-05T07:30:00Z,6
3,2020-06-08,ma,2020-06-08T08:15:26Z,2020-06-07T09:30:00Z,2020-06-07T21:37:00Z,2020-06-07T22:37:00Z,2020-06-08T08:03:00Z,6
3,2020-06-09,di,2020-06-09T08:03:42Z,2020-06-08T08:03:00Z,2020-06-08T21:49:00Z,2020-06-08T22:49:00Z,2020-06-09T07:36:00Z,6
3,2020-06-10,wo,2020-06-10T07:53:11Z,2020-06-09T07:36:00Z,2020-06-09T21:34:00Z,2020-06-09T22:34:00Z,2020-06-10T07:36:00Z,4
3,2020-06-11,do,2020-06-11T07:44:37Z,2020-06-10T07:36:00Z,2020-06-10T21:37:00Z,2020-06-10T22:37:00Z,2020-06-11T07:32:00Z,3
3,2020-06-12,vr,2020-06-12T07:16:29Z,2020-06-11T07:32:00Z,2020-06-11T19:41:00Z,2020-06-11T20:41:00Z,2020-06-12T06:30:00Z,4
3,2020-06-17,wo,2020-06-17T07:17:40Z,2020-06-16T06:46:00Z,2020-06-16T21:21:00Z,2020-06-16T22:21:00Z,2020-06-17T06:30:00Z,6
3,2020-06-18,do,2020-06-18T07:24:58Z,2020-06-17T06:30:00Z,2020-06-17T21:05:00Z,2020-06-17T22:05:00Z,2020-06-18T07:30:00Z,3
3,2020-06-19,vr,2020-06-19T07:23:46Z,2020-06-18T07:30:00Z,2020-06-18T21:24:00Z,2020-06-18T22:24:00Z,2020-06-19T07:30:00Z,6
3,2020-06-21,zo,2020-06-21T11:03:24Z,2020-06-20T09:30:00Z,2020-06-20T20:46:00Z,2020-06-20T21:46:00Z,2020-06-21T09:30:00Z,6
10,2020-06-02,di,2020-06-02T08:30:00Z,2020-06-01T06:54:00Z,2020-06-01T20:32:00Z,2020-06-01T21:32:00Z,2020-06-02T07:04:00Z,5
10,2020-06-03,wo,2020-06-03T07:21:15Z,2020-06-02T07:04:00Z,2020-06-02T20:45:00Z,2020-06-02T21:45:00Z,2020-06-03T07:00:00Z,5
10,2020-06-04,do,2020-06-04T08:08:28Z,2020-06-03T07:00:00Z,2020-06-03T20:37:00Z,2020-06-03T21:37:00Z,2020-06-04T07:46:00Z,5
10,2020-06-06,za,2020-06-06T10:33:55Z,2020-06-05T06:54:00Z,2020-06-05T22:01:00Z,2020-06-05T23:01:00Z,2020-06-06T10:32:00Z,6
10,2020-06-12,vr,2020-06-12T07:59:59Z,2020-06-11T06:54:00Z,2020-06-11T20:45:00Z,2020-06-11T21:45:00Z,2020-06-12T07:00:00Z,5
10,2020-06-14,zo,2020-06-14T11:28:02Z,2020-06-13T08:53:00Z,2020-06-13T22:10:00Z,2020-06-13T23:10:00Z,2020-06-14T09:10:00Z,6
10,2020-06-15,ma,2020-06-15T07:52:12Z,2020-06-14T09:10:00Z,2020-06-14T21:51:00Z,2020-06-14T22:51:00Z,2020-06-15T07:51:00Z,6
10,2020-06-22,ma,2020-06-22T08:06:43Z,2020-06-21T08:53:00Z,2020-06-21T22:05:00Z,2020-06-21T23:05:00Z,2020-06-22T07:09:00Z,6
12,2020-06-03,wo,2020-06-03T07:55:57Z,2020-06-02T07:27:00Z,2020-06-02T22:00:00Z,2020-06-02T23:00:00Z,2020-06-03T07:35:00Z,7
12,2020-06-04,do,2020-06-04T07:45:21Z,2020-06-03T07:35:00Z,2020-06-03T22:05:00Z,2020-06-03T23:05:00Z,2020-06-04T07:40:00Z,5
12,2020-06-05,vr,2020-06-05T07:16:10Z,2020-06-04T07:40:00Z,2020-06-04T21:15:00Z,2020-06-04T22:15:00Z,2020-06-05T07:15:00Z,7
12,2020-06-06,za,2020-06-06T11:12:34Z,2020-06-05T07:15:00Z,2020-06-05T22:12:00Z,2020-06-05T23:12:00Z,2020-06-06T05:40:00Z,6
12,2020-06-07,zo,2020-06-07T10:43:10Z,2020-06-06T05:40:00Z,2020-06-07T01:20:00Z,2020-06-07T02:20:00Z,2020-06-07T10:42:00Z,7
12,2020-06-08,ma,2020-06-08T07:41:26Z,2020-06-07T10:42:00Z,2020-06-07T22:00:00Z,2020-06-07T23:00:00Z,2020-06-08T07:41:00Z,7
12,2020-06-09,di,2020-06-09T07:46:46Z,2020-06-08T07:41:00Z,2020-06-08T22:45:00Z,2020-06-08T23:45:00Z,2020-06-09T07:46:00Z,6
12,2020-06-11,do,2020-06-11T07:44:27Z,2020-06-10T07:27:00Z,2020-06-10T22:30:00Z,2020-06-10T23:30:00Z,2020-06-11T07:43:00Z,6
12,2020-06-12,vr,2020-06-12T08:03:00Z,2020-06-11T07:43:00Z,2020-06-11T21:20:00Z,2020-06-11T22:20:00Z,2020-06-12T07:35:00Z,7
12,2020-06-15,ma,2020-06-15T07:22:03Z,2020-06-14T06:07:00Z,2020-06-14T21:40:00Z,2020-06-14T22:40:00Z,2020-06-15T07:21:00Z,7
12,2020-06-16,di,2020-06-16T07:38:27Z,2020-06-15T07:21:00Z,2020-06-15T21:30:00Z,2020-06-15T22:30:00Z,2020-06-16T07:38:00Z,7
12,2020-06-17,wo,2020-06-17T07:39:50Z,2020-06-16T07:38:00Z,2020-06-16T21:40:00Z,2020-06-16T22:40:00Z,2020-06-17T07:39:00Z,7
12,2020-06-18,do,2020-06-18T07:40:45Z,2020-06-17T07:39:00Z,2020-06-17T21:40:00Z,2020-06-17T22:40:00Z,2020-06-18T07:40:00Z,7
12,2020-06-19,vr,2020-06-19T07:40:48Z,2020-06-18T07:40:00Z,2020-06-18T22:09:00Z,2020-06-18T23:09:00Z,2020-06-19T07:40:00Z,7
12,2020-06-21,zo,2020-06-21T10:48:44Z,2020-06-20T06:07:00Z,2020-06-20T23:40:00Z,2020-06-21T00:40:00Z,2020-06-21T10:48:00Z,4
12,2020-06-22,ma,2020-06-22T07:37:33Z,2020-06-21T10:48:00Z,2020-06-21T22:09:00Z,2020-06-21T23:09:00Z,2020-06-22T07:37:00Z,4
13,2020-06-03,wo,2020-06-03T07:35:06Z,2020-06-02T06:57:00Z,2020-06-02T23:30:00Z,2020-06-03T00:30:00Z,2020-06-03T07:00:00Z,4
13,2020-06-04,do,2020-06-04T07:23:10Z,2020-06-03T07:00:00Z,2020-06-03T22:21:00Z,2020-06-03T23:21:00Z,2020-06-04T07:05:00Z,5
13,2020-06-07,zo,2020-06-07T10:46:45Z,2020-06-06T08:48:00Z,2020-06-07T01:00:00Z,2020-06-07T02:00:00Z,2020-06-07T09:48:00Z,7
13,2020-06-10,wo,2020-06-10T07:42:26Z,2020-06-09T06:57:00Z,2020-06-09T22:30:00Z,2020-06-09T23:30:00Z,2020-06-10T07:30:00Z,6
13,2020-06-11,do,2020-06-11T07:33:12Z,2020-06-10T07:30:00Z,2020-06-11T00:00:00Z,2020-06-11T01:00:00Z,2020-06-11T07:20:00Z,3
13,2020-06-12,vr,2020-06-12T08:22:13Z,2020-06-11T07:20:00Z,2020-06-11T23:10:00Z,2020-06-12T00:10:00Z,2020-06-12T08:15:00Z,5
13,2020-06-13,za,2020-06-13T10:41:42Z,2020-06-12T08:15:00Z,2020-06-13T01:00:00Z,2020-06-13T02:00:00Z,2020-06-13T09:30:00Z,6
13,2020-06-17,wo,2020-06-17T07:27:53Z,2020-06-16T06:57:00Z,2020-06-17T00:20:00Z,2020-06-17T01:20:00Z,2020-06-17T07:25:00Z,6
13,2020-06-18,do,2020-06-18T07:17:55Z,2020-06-17T07:25:00Z,2020-06-17T22:00:00Z,2020-06-17T23:00:00Z,2020-06-18T06:55:00Z,6
13,2020-06-19,vr,2020-06-19T08:13:16Z,2020-06-18T06:55:00Z,2020-06-18T23:00:00Z,2020-06-19T00:00:00Z,2020-06-19T08:00:00Z,6
13,2020-06-21,zo,2020-06-21T11:04:04Z,2020-06-20T08:48:00Z,2020-06-21T02:00:00Z,2020-06-21T03:00:00Z,2020-06-21T08:45:00Z,6
20,2020-06-04,do,2020-06-04T08:20:00Z,2020-06-03T07:26:00Z,2020-06-03T21:30:00Z,2020-06-03T22:30:00Z,2020-06-04T07:49:00Z,6
20,2020-06-05,vr,2020-06-05T07:41:48Z,2020-06-04T07:49:00Z,2020-06-04T21:23:00Z,2020-06-04T22:23:00Z,2020-06-05T07:29:00Z,4
20,2020-06-06,za,2020-06-06T11:11:29Z,2020-06-05T07:29:00Z,2020-06-05T20:29:00Z,2020-06-05T21:29:00Z,2020-06-06T06:15:00Z,4
20,2020-06-08,ma,2020-06-08T08:30:01Z,2020-06-07T06:15:00Z,2020-06-07T22:30:00Z,2020-06-07T23:30:00Z,2020-06-08T07:34:00Z,4
20,2020-06-10,wo,2020-06-10T07:42:48Z,2020-06-09T07:26:00Z,2020-06-09T21:41:00Z,2020-06-09T22:41:00Z,2020-06-10T07:31:00Z,4
20,2020-06-15,ma,2020-06-15T08:25:57Z,2020-06-14T06:15:00Z,2020-06-14T21:27:00Z,2020-06-14T22:27:00Z,2020-06-15T07:31:00Z,4
20,2020-06-17,wo,2020-06-17T07:47:39Z,2020-06-16T07:26:00Z,2020-06-16T22:01:00Z,2020-06-16T23:01:00Z,2020-06-17T07:31:00Z,4
21,2020-06-02,di,2020-06-02T07:59:31Z,2020-06-01T06:14:00Z,2020-06-01T21:15:00Z,2020-06-01T22:15:00Z,2020-06-02T07:57:00Z,5
21,2020-06-03,wo,2020-06-03T07:23:22Z,2020-06-02T07:57:00Z,2020-06-02T21:20:00Z,2020-06-02T22:20:00Z,2020-06-03T07:15:00Z,5
21,2020-06-07,zo,2020-06-07T11:02:32Z,2020-06-06T05:27:00Z,2020-06-06T23:32:00Z,2020-06-07T00:32:00Z,2020-06-07T10:02:00Z,5
21,2020-06-08,ma,2020-06-08T08:07:05Z,2020-06-07T10:02:00Z,2020-06-07T21:06:00Z,2020-06-07T22:06:00Z,2020-06-08T08:06:00Z,4
21,2020-06-11,do,2020-06-11T07:16:34Z,2020-06-10T06:14:00Z,2020-06-10T21:58:00Z,2020-06-10T22:58:00Z,2020-06-11T06:49:00Z,4
21,2020-06-12,vr,2020-06-12T07:17:55Z,2020-06-11T06:49:00Z,2020-06-11T21:17:00Z,2020-06-11T22:17:00Z,2020-06-12T05:17:00Z,4
21,2020-06-13,za,2020-06-13T11:00:39Z,2020-06-12T05:17:00Z,2020-06-12T21:00:00Z,2020-06-12T22:00:00Z,2020-06-13T05:00:00Z,5
21,2020-06-14,zo,2020-06-14T10:56:22Z,2020-06-13T05:00:00Z,2020-06-14T00:55:00Z,2020-06-14T01:55:00Z,2020-06-14T10:56:00Z,4
21,2020-06-15,ma,2020-06-15T07:38:59Z,2020-06-14T10:56:00Z,2020-06-14T20:38:00Z,2020-06-14T21:38:00Z,2020-06-15T07:38:00Z,6
21,2020-06-16,di,2020-06-16T07:16:00Z,2020-06-15T07:38:00Z,2020-06-15T21:09:00Z,2020-06-15T22:09:00Z,2020-06-16T07:15:00Z,4
23,2020-06-03,wo,2020-06-03T07:31:16Z,2020-06-02T07:10:00Z,2020-06-02T20:50:00Z,2020-06-02T21:50:00Z,2020-06-03T07:30:00Z,4
23,2020-06-04,do,2020-06-04T07:19:53Z,2020-06-03T07:30:00Z,2020-06-03T20:50:00Z,2020-06-03T21:50:00Z,2020-06-04T07:00:00Z,5
